Portfolio,Market Condition,Market State,Rebal Type,Rebal Value,TLH Status,Strategy Label,Final NAV,Total Return,CAGR,Volatility (Ann),Sharpe Ratio,Max Drawdown,Return Skewness,Return Kurtosis,Tracking Error (Ann),Information Ratio,Tax Paid,Losses Harvested,TLH Event Count,Execution Costs,Tax Alpha 2,Loss Carryforward ST,Loss Carryforward LT
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.018323,-1.777100,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,2407171.430000,1.407171,0.091972,0.152713,0.602300,-0.213739,-0.413200,4.446400,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.016630,-1.746900,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Monthly,Off,Monthly Rebal | No TLH,2320477.160000,1.320477,0.087967,0.152996,0.575000,-0.215587,-0.412300,4.466600,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,1836178.500000,0.836179,0.062756,0.144038,0.435700,-0.205083,-0.357000,4.181400,0.020454,-1.206600,220692.515713,434796.360000,428.000000,91981.460000,41066.868911,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,2322677.230000,1.322677,0.088071,0.152927,0.575900,-0.215277,-0.413200,4.458800,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,1844466.990000,0.844467,0.063235,0.130817,0.483400,-0.190721,-0.419200,3.513300,0.032125,-0.813400,174215.624947,368270.180000,342.000000,51900.460000,-36744.424121,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Yearly,Off,Yearly Rebal | No TLH,2334135.210000,1.334135,0.088607,0.152838,0.579700,-0.214833,-0.414000,4.442700,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,2036939.140000,1.036939,0.073858,0.132494,0.557400,-0.178716,-0.429500,3.507000,0.029807,-0.551600,101179.542500,193731.080000,22.000000,15622.280000,1391.900069,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,2358684.790000,1.358685,0.089748,0.152682,0.587800,-0.213739,-0.412900,4.435100,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.016029,-1.684800,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,2415346.970000,1.415347,0.092343,0.152714,0.604700,-0.213739,-0.413200,4.443800,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Baseline Market,Baseline (2010–2019),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,1812376.250000,0.812376,0.061368,0.147914,0.414900,-0.212160,-0.380300,4.510700,0.016695,-1.760400,199703.249959,444224.250000,1118.000000,90474.750000,33324.089436,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Monthly,Off,Monthly Rebal | No TLH,1469615.330000,0.469615,0.213207,0.126143,1.690200,-0.104829,-0.264600,0.506000,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,1325486.960000,0.325487,0.151944,0.122795,1.237400,-0.098086,-0.310500,0.634700,0.020948,-2.471100,83618.804219,22265.750000,0.000000,16703.840000,4837.048345,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,1471562.570000,0.471563,0.214014,0.126192,1.695900,-0.104795,-0.263500,0.499500,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,1350319.680000,0.350320,0.162728,0.123272,1.320100,-0.096839,-0.281100,0.421900,0.020873,-2.061800,68199.794456,15928.300000,1.000000,8848.640000,-119.143594,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Yearly,Off,Yearly Rebal | No TLH,1477316.660000,0.477317,0.216394,0.126970,1.704300,-0.104589,-0.270600,0.510600,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,1411416.580000,0.411417,0.188846,0.127994,1.475400,-0.104601,-0.493100,1.580500,0.023548,-0.943800,39572.568838,0.000000,0.000000,2401.910000,0.000000,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,1478778.200000,0.478778,0.216998,0.126940,1.709500,-0.104803,-0.270500,0.527900,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.020861,-2.691200,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
100/0 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,1488040.210000,0.488040,0.220819,0.128106,1.723700,-0.104589,-0.274900,0.529200,0.000000,0.000000,,,,,,,
100/0 (TA ETF),Bull Market,Bull (2023–2024),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,1322422.850000,0.322423,0.150607,0.122963,1.224800,-0.102404,-0.206300,0.502700,0.021543,-2.758800,93497.602563,33582.850000,0.000000,19485.580000,2334.115909,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,835232.610000,-0.164767,-0.160127,0.158078,-1.013000,-0.258214,0.461700,6.120100,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.1,On (10%),Abs Threshold 10% | TLH=10%,829433.110000,-0.170567,-0.165201,0.185391,-0.891100,-0.293085,0.214800,5.802000,0.045722,-0.728300,8294.223874,213746.500000,389.000000,8862.240000,-23176.535861,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,Off,Abs Threshold 20% | No TLH,835232.610000,-0.164767,-0.160127,0.158078,-1.013000,-0.258214,0.461700,6.120100,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.2,On (10%),Abs Threshold 20% | TLH=10%,851922.410000,-0.148078,-0.143357,0.181841,-0.788400,-0.277347,0.438600,6.949600,0.036349,-0.401700,-1050.000000,126542.360000,24.000000,3484.760000,-13112.958339,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,Off,Abs Threshold 5% | No TLH,824827.220000,-0.175173,-0.170271,0.175872,-0.968200,-0.276965,0.526900,5.235500,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Absolute Threshold,0.05,On (10%),Abs Threshold 5% | TLH=10%,829433.110000,-0.170567,-0.165201,0.185391,-0.891100,-0.293085,0.214800,5.802000,0.033787,-0.713000,8294.223874,213746.500000,389.000000,8862.240000,-23176.535861,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,Off,Monthly Rebal | No TLH,816513.740000,-0.183486,-0.178378,0.182639,-0.976700,-0.286502,0.503800,5.568400,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Monthly,On (10%),Monthly Rebal | TLH=10%,830499.660000,-0.169500,-0.164164,0.184252,-0.891000,-0.292390,0.190600,5.200600,0.027447,-0.521200,4065.056233,177080.550000,104.000000,8265.190000,-17509.066230,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,Off,Quarterly Rebal | No TLH,817685.420000,-0.182315,-0.177235,0.175263,-1.011200,-0.279106,0.531200,6.335400,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Quarterly,On (10%),Quarterly Rebal | TLH=10%,829732.900000,-0.170267,-0.164910,0.170136,-0.969300,-0.282547,0.081500,5.867200,0.030685,-0.566900,4974.699053,162101.330000,101.000000,6044.760000,-20239.826256,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,Off,Yearly Rebal | No TLH,833727.390000,-0.166273,-0.161595,0.159257,-1.014700,-0.259734,0.461600,6.094500,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Calendar,Yearly,On (10%),Yearly Rebal | TLH=10%,853287.130000,-0.146713,-0.142032,0.155324,-0.914400,-0.265527,-0.086100,5.309300,0.032079,-0.495300,-1050.000000,157954.840000,30.000000,3930.200000,-18185.945395,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,Off,Rel Threshold 25% | No TLH,817910.010000,-0.182090,-0.177016,0.184889,-0.957400,-0.282435,0.632000,6.685000,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.25,On (10%),Rel Threshold 25% | TLH=10%,829433.110000,-0.170567,-0.165201,0.185391,-0.891100,-0.293085,0.214800,5.802000,0.029507,-0.594100,8294.223874,213746.500000,389.000000,8862.240000,-23176.535861,0.000000,0.000000
40/60 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,Off,Rel Threshold 50% | No TLH,843223.010000,-0.156777,-0.152341,0.165768,-0.919000,-0.258214,0.416000,5.468700,0.000000,0.000000,,,,,,,
40/60 (TA ETF),Bear Market,Bear (2007–2008),Relative Threshold,0.5,On (10%),Rel Threshold 50% | TLH=10%,829433.110000,-0.170567,-0.165201,0.185391,-0.891100,-0.293085,0.214800,5.802000,0.036719,-1.191700,8294.223874,213746.500000,389.000000,8862.240000,-23176.535861,0.000000,0.000000
40/60 (TA ETF),Baseline Market,Baseline (2010–2019),Absolute Threshold,0.1,Off,Abs Threshold 10% | No TLH,1904845.580000,0.904846,0.066698,0.086746,0.768900,-0.112441,8.501200,244.600300,0.000000,0.000000,,,,,,,
